code,name,credit,pre
ENG102,Introduction to Composition,3,None
ENG103,Intermediate Composition,3,ENG 102/Waiver
ENG111,Public Speaking,3,ENG 103
ENG115,Literature,3,ENG 103
PHI101,Introduction to Philosophy,3,None
PHI104,Introduction to Ethics,3,None
LBA101,Bangladesh Culture and Heritage,3,None
LBA102,Introduction to World Civilization,3,None
POL101,Introduction to Political Science,3,None
POL104,Introduction to Governance,3,None
ECO101,Introduction to Microeconomics,3,None
ECO104,Introduction to Macroeconomics,3,None
SOC101,Introduction to Sociology,3,None
ENV203,Introduction to Bangladesh Geography,3,None
GEO205,Introduction to Bangladesh Geography,3,None
ANT101,Introduction to Anthropology,3,None
BIO103,103 Biology I,4,None
MAT116,Pre-Calculus,3,None
MAT120,Calculus-I,3,MAT 116
MAT125,Linear Algebra,3,MAT 116 or an adequate test score
MAT130,Calculus II,3,MAT 120
MAT250,Calculus III,3,MAT 130
MAT350,Engineering Mathematics,3,MAT 250
MAT361,Probability and Statistics,3,MAT 250
PHY107,Physics I,4,MAT 120 and Physics in HSC/A Level.
PHY108,Physics II,4,"MAT 240, PHY 107"
CHE101,Chemistry I,4,None
EEE452,Engineering Economics,3,None
CEE110,Engineering Drawing,1,None
CSE115,Programming language I,3,None
CSE115L,Programming language I Lab,1,None
CSE215,Programming Language II,3,"CSE 173, MAT 120"
CSE215L,Programming Language II Lab,1,"CSE 173, MAT 120"
CSE173,Discrete Mathematics,3,"CSE 115, CSE 115L"
CSE225,Data Structures and Algorithms,3,"CSE 215, CSE 215L"
CSE225L,Data Structures and Algorithms Lab,0,"CSE 215, CSE 215L"
CSE231,Digital Logic design,3,"CSE 225, CSE 173"
CSE231L,Digital Logic design Lab,0,"CSE 225, CSE 173"
CSE299,Junior Design Course,1,60 credits completed
EEE141L,Electrical Circuits I Lab,1,None
EEE111,Analog Electronics,3,EEE 141
CSE311,Database Systems,3,CSE 225
CSE311L,Database Systems Lab,0,CSE 225
CSE323,Operating Systems Design,3,"CSE 225, CSE 332"
CSE327,Software Engineering,3,CSE 225
CSE331,Microprocessor Interfacing & Embedded System,3,CSE 332
CSE331L,Microprocessor Interfacing & Embedded System Lab,0,CSE 332
CSE332,Computer Organization and Architecture,3,CSE 231
CSE373,Design and Analysis of Algorithms,3,MAT 361 or consent of instructor
CSE425,Concepts of Programming Language,3,CSE 225
CSE498,Internship/Co-op/Directed Research,0,Minimum 80 credits completed
CSE499A,Senior Design Project I,1.5,"CSE331, CSE327, CSE 311, CSE 373, 100 credits completed"
CSE499B,Senior Design Project II,1.5,CSE 499A
EEE111L,Analog Electronics Lab,1,EEE 141
EEE141,Electrical Circuits I,3,None
EEE211,Digital Logic Design,3,EEE 141
EEE211L,Digital Logic design Lab,0,EEE 141
EEE221,Signals and Systems,3,MAT 350
EEE241,Electrical Circuits II,3,"MAT 120, EEE 141"
EEE241L,Electrical Circuits II Lab,1,"MAT 120, EEE 141"
EEE299,Junior Design Project I,1,60 Credits
EEE311,Analog Electronics,4,EEE 241
EEE312,Power Electronics,3,"EEE 211, MAT 350"
EEE312L,Power Electronics Lab,0,"EEE 211, MAT 350"
EEE321,Introduction to Communications Systems,3,"EEE 221, MAT 361"
EEE321L,Introduction to Communications Systems Lab,0,"EEE 221, MAT 361"
EEE342,Control Engineering,3,EEE 221
EEE342L,Control Engineering Lab,0,EEE 221
EEE361,Electromagnetic Fields & Waves,3,"PHY 108, MAT 350"
EEE362,Power Systems,3,"EEE 232, EEE363"
EEE362L,Power Systems Lab,0,"EEE 232, EEE363"
EEE363,Electrical Machines,3,"EEE 241, EEE280, EEE361"
EEE363L,Electrical Machines Lab,0,"EEE 241, EEE280, EEE361"
EEE498,Internship/Co-op/Directed Research,0,Internship/Co-op
EEE499A,Senior Design Project I,1.5,"EEE312, EEE321, EEE421, EEE363, EEE362, 100 Credits completed"
EEE499B,Senior Design Project II,1.5,EEE 499A
ETE299,Junior Design Project I,1,60 Credits
ETE321,Introduction to Communications Systems,3,"ETE 221, MAT 361"
ETE321L,Introduction to Communications Systems Lab,0,"EEE 211, MAT 350"
ETE331,Data Communications & Networks,3,"CSE115, ETE 221"
ETE331L,Data Communications & Networks Lab,0,"CSE115, ETE 221"
ETE424,Mobile and Wireless Communication System,3,ETE 422
ETE424L,Mobile and Wireless Communication System Lab,3,ETE 422
ETE426,Fiber Optic Communication Systems,3,ETE 361
ETE426L,Fiber Optic Communication Systems Lab,0,ETE 361
ETE471,Digital Signal Processing,3,ETE 221
ETE471L,Digital Signal Processing Lab,0,ETE 221
ETE499A,Senior Design Project I,1.5,"ETE331, ETE424, ETE426, ETE 471, ETE 452, 100 credits completed"
ETE499B,Senior Design Project II,1.5,ETE 499A
CSE417,Numerical Methods,3,"CSE 225, MAT 125, MAT 240 "
CSE401,Advanced Programming Techniques,3,None
CSE418,Computer Graphics,3,"CSE 225, CSE 332"
CSE426,Compiler Constructions,3,"CSE 173, CSE 225"
CSE473,Theory of Computation,3,None
CSE411,Advanced Database Systems,3,CSE 311
CSE424,Object-Oriented Software Developments,3,CSE 327
CSE427,Software Quality Assurances & Testing,3,CSE 327 or Consent from Instructor
CSE428,Software Process Management,3,CSE 327
CSE429,Software System Architecture,3,CSE 327
CSE482,Internet and Web Technology,3,CSE338
CSE492,Special Topics,3,None
CSE338,Data Communication & network,3,CSE 215
CSE438,Parallel and Distributed Systems,3,CSE 338
CSE422,Modelling and Simulation,3,None
CSE485,Digital Signal Processing,3,None
CSE486,Mobile and Wireless Application Development,3,None
CSE433,Advanced Computer Architecture,3,CSE 331
CSE435,Introduction to VLSI Design,3,"EEE111, CSE 231/EEE211"
CSE413,"Verilog HDL: Modelling, Simulation and synthesis",3,CSE 231/EEE 211
CSE414,Advanced Chip Design Methodology and Optimiza.using HD,3,CSE 413
CSE494,Special Topics,3,None
CSE419,Data Mining,3,None
CSE440,Artificial Intelligence,3,CSE 225 and MAT 361; or consent of instructor.
CSE445,Machine Learning,3,CSE 348 or Consent from Instructor
CSE465,Pattern Recognition and Neural Network,3,None
CSE467,Digital Image Processing,3,None
CSE468,Computer Vision,3,CSE 440 (Artificial Intelligence)
CSE470,Theory of Fuzzy Systerms,3,None
CSE446,Introductions to Bioinformatics,3,None
CSE447,Molecular Biology,3,None
CSE448,Genome Sequence & Analysis,3,None
CSE449,Structural Bioinformatics,3,None
CSE496,Special Topics,3,None
EEE422,Principles of Digital Communications,3,None
EEE423,Principles of Telecommunication Network,3,EEE410
EEE413,"Verilog HDL: Modeling, Simulation and Synthesis",3,ETE 331 or consent from Instructor
EEE427,Satellite Communication System,3,None
EEE428,RF and Microwave Engineering + IL (*ETE 428),3,None
EEE410,Semiconductor Devices and Technology,3,EEE 111
EEE415,CMOS Analog Circuit Design,3,EEE 411
EEE421,Stochastic Signals and Systems,3,None
EEE453,Microprocessor Interface and Embedded System,3,None
EEE464,Power Stations,3,None
EEE465,High Voltage Engineering,3,None
EEE492,Special Topics,3,None
EEE424,Mobile and Wireless Communication System,3,None
EEE426,Fiber Optic Communication System,4,None
EEE493,Special Topics,3,None
EEE432,Artificial Intelligence,3,CSE 225 and CSE 332; or consent of instructor
EEE433,Pattern Recognition and Neural Network,3,EEE 432 and consent of the instructor.
EEE436,Theory of Fuzzy Systems,3,EEE 432 or Consent from Instructor
EEE468,Computer Vision,3,CSE 440 (Artificial Intelligence)
EEE494,Special Topics,3,CSE 225 and MAT 361; or consent of instructor.
EEE331,Data Communications & Networks,3,None
EEE451,Telecommunications Business and Management,3,None
EEE471,Digital Signal Processing ,3,None
EEE495,Special Topics,3,None
EEE411,Introduction to VLSI Design,3,EEE410
EEE414,Advanced VLSI Chip Design Methodology and Optimization using HDL,3,None
EEE491,Special Topics,3,CSE 311
EEE461,Power System Operations & Reliability,3,None
EEE462,Switchgear and Protection,3,None
